title,date,place,map,comment
健康・福祉,ホームページ参照,西東京市,西東京市,詳細は公式ホームページをご確認ください
健康講座動画～簡単アレンジレシピ～を公開しました！,ホームページ参照,西東京市,西東京市,詳細は公式ホームページをご確認ください
早稲田大学協力！西東京しゃきしゃき体操推進リーダー養成講座,ホームページ参照,西東京市,西東京市,詳細は公式ホームページをご確認ください
お口の健康相談室（1歳から3歳）,ホームページ参照,西東京市,西東京市,詳細は公式ホームページをご確認ください
母子健康手帳の交付,ホームページ参照,西東京市,西東京市,詳細は公式ホームページをご確認ください
妊婦健康診査,ホームページ参照,西東京市,西東京市,詳細は公式ホームページをご確認ください
妊婦健康診査Q&A,ホームページ参照,西東京市,西東京市,詳細は公式ホームページをご確認ください
国民健康保険の届け出,ホームページ参照,西東京市,西東京市,詳細は公式ホームページをご確認ください
健康診査,ホームページ参照,西東京市,西東京市,詳細は公式ホームページをご確認ください
後期高齢者医療制度,ホームページ参照,西東京市,西東京市,詳細は公式ホームページをご確認ください
介護・日常生活の支援,ホームページ参照,西東京市,西東京市,詳細は公式ホームページをご確認ください
介護保険,ホームページ参照,西東京市,西東京市,詳細は公式ホームページをご確認ください
葬祭費（西東京市国民健康保険）,ホームページ参照,西東京市,西東京市,詳細は公式ホームページをご確認ください
葬祭費（後期高齢者医療制度）,ホームページ参照,西東京市,西東京市,詳細は公式ホームページをご確認ください
