category,title,date,place,summary,url
健康,西東京しゃきしゃき体操,毎月開催,保谷保健福祉総合センター,市オリジナルの健康体操で筋力やバランス能力を高めます。,https://www.city.nishitokyo.lg.jp/
健康,栄養・食生活相談,随時受付,田無総合福祉センター,管理栄養士による食生活相談です。,https://www.city.nishitokyo.lg.jp/
健康,糖尿病予防講座,年数回開催,田無総合福祉センター,糖尿病予防について学べます。,https://www.city.nishitokyo.lg.jp/
健康,リハビリ窓口相談,毎月開催,保谷保健福祉総合センター,理学療法士へ身体や生活について相談できます。,https://www.city.nishitokyo.lg.jp/
健康,あるチャレ,毎月開催,西東京市内,歩数に応じて景品が当たる健康イベントです。,https://www.city.nishitokyo.lg.jp/
介護,家族介護者支援プログラム,年数回開催,保谷保健福祉総合センター,介護に必要な知識を学べます。,https://www.city.nishitokyo.lg.jp/
介護,認知症サポーター養成講座,年数回開催,富士町福祉会館,認知症について学べる講座です。,https://www.city.nishitokyo.lg.jp/
介護,息子介護者の会・娘介護者の会,毎月開催,地域包括支援センター,介護者同士が悩みを共有できます。,https://www.city.nishitokyo.lg.jp/
介護,訪問介護お仕事フェア,年1回開催,アスタセンターコート,訪問介護の体験や相談ができます。,https://www.city.nishitokyo.lg.jp/
運動,ウォーキングイベント,不定期開催,市内各所,健康づくりを目的としたウォーキングイベントです。,https://www.city.nishitokyo.lg.jp/
